EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
RELIANCE IN Equity,RELIANCE INDUSTR,20848750173708.40,20848750173708.40,1540.60,25.09,27.26,9996290000000.00
HDFCB IN Equity,HDFC BANK LTD,15433272890999.80,15433272890999.80,1003.30,21.23,14.71,4840783000000.00
BHARTI IN Equity,BHARTI AIRTEL,12646140268380.00,12646140268380.00,2108.80,31.97,33.93,1946135000000.00
TCS IN Equity,TATA CONSULTANCY,11716091000787.60,11716091000787.60,3238.20,23.70,-18.17,2576880000000.00
ICICIBC IN Equity,ICICI BANK LTD,9955419249270.00,9955419249270.00,1392.50,18.54,9.49,3050969500000.00
SBIN IN Equity,STATE BANK IND,8967544984799.00,8967544984799.00,971.50,10.84,24.66,6903055000000.00
INFO IN Equity,INFOSYS LTD,6714703969825.80,6714703969825.80,1616.20,23.81,-11.49,1694580000000.00
BAF IN Equity,BAJAJ FINANCE LT,6521160994520.00,6521160994520.00,1048.00,38.97,54.55,697619300000.00
LT IN Equity,LARSEN & TOUBRO,5554870677310.40,5554870677310.40,4038.20,36.93,12.98,2542086500000.00
LICI IN Equity,LIC INSURANCE CO,5502115500099.90,5502115500099.90,869.90,11.47,-1.16,8899815700000.00
HUVR IN Equity,HINDUSTAN UNILEV,5494754125313.20,5494754125313.20,2338.60,50.47,3.98,634200000000.00
MSIL IN Equity,MARUTI SUZUKI IN,5119102709868.00,5119102709868.00,16282.00,35.30,51.59,1451099000000.00
ITC IN Equity,ITC LTD,5073523208976.95,5073523208976.95,404.95,25.66,-8.41,746533200000.00
MM IN Equity,MAHINDRA & MAHIN,4622321017710.10,4622321017710.10,3717.10,32.07,24.60,1587497500000.00
HCLT IN Equity,HCL TECH LTD,4567098356568.00,4567098356568.00,1683.00,26.72,-8.89,1222964165016.24
SUNP IN Equity,SUN PHARMA INDU,4331413757132.00,4331413757132.00,1805.30,41.44,-3.40,544438100000.00
